CountyName,TimeStamp,CovidCases
Cork,2020-06-11,1533
Cork,2020-06-12,1533
Cork,2020-06-13,1533
Cork,2020-06-14,1533
Cork,2020-06-15,1535
Cork,2020-06-16,1535
Cork,2020-06-17,1535
Cork,2020-06-18,1535
Cork,2020-06-19,1535
Cork,2020-06-20,1535
Cork,2020-06-21,1535
Cork,2020-06-22,1535
Cork,2020-06-23,1535
Cork,2020-06-24,1535
Cork,2020-06-25,1535
Cork,2020-06-26,1535
Cork,2020-06-27,1536
Cork,2020-06-28,1536
Cork,2020-06-29,1536
Cork,2020-06-30,1536
Cork,2020-07-01,1540
Cork,2020-07-02,1540
Cork,2020-07-03,1541
Cork,2020-07-04,1543
Cork,2020-07-05,1542
Cork,2020-07-06,1543
Cork,2020-07-07,1545
Cork,2020-07-08,1545
Cork,2020-07-09,1545
Cork,2020-07-10,1545
Cork,2020-07-11,1546
Cork,2020-07-12,1548
Cork,2020-07-13,1550
Cork,2020-07-14,1550
Cork,2020-07-15,1554
Cork,2020-07-16,1555
Cork,2020-07-17,1557
Cork,2020-07-18,1557
Cork,2020-07-19,1557
Cork,2020-07-20,1560
Cork,2020-07-21,1561
Cork,2020-07-22,1560
Cork,2020-07-23,1560
Cork,2020-07-24,1562
Cork,2020-07-25,1562
Cork,2020-07-26,1563
Cork,2020-07-27,1563
Cork,2020-07-28,1563
Cork,2020-07-29,1566
Cork,2020-07-30,1567
Cork,2020-07-31,1567
Cork,2020-08-01,1567
Cork,2020-08-02,1569
Cork,2020-08-03,1570
Cork,2020-08-04,1572
Cork,2020-08-05,1575
Cork,2020-08-06,1575
Cork,2020-08-07,1582
Cork,2020-08-08,1582
Cork,2020-08-09,1585
Cork,2020-08-10,1587
Cork,2020-08-11,1587
Cork,2020-08-12,1589
Cork,2020-08-13,1592
Cork,2020-08-14,1595
Cork,2020-08-15,1595
Cork,2020-08-16,1595
Cork,2020-08-17,1598
Cork,2020-08-18,1598
Cork,2020-08-19,1604
Cork,2020-08-20,1610
Cork,2020-08-21,1612
Cork,2020-08-22,1614
Cork,2020-08-23,1617
Cork,2020-08-24,1620
Cork,2020-08-25,1629
Cork,2020-08-26,1633
Cork,2020-08-27,1634
Cork,2020-08-28,1638
Cork,2020-08-29,1638
Cork,2020-08-30,1639
Cork,2020-08-31,1641
Cork,2020-09-01,1643
Cork,2020-09-02,1645
Cork,2020-09-03,1649
Cork,2020-09-04,1655
Cork,2020-09-05,1660
Cork,2020-09-06,1662
Cork,2020-09-07,1665
Cork,2020-09-08,1667
Cork,2020-09-09,1667
Cork,2020-09-10,1675
Cork,2020-09-11,1681
Cork,2020-09-12,1683
Cork,2020-09-13,1688
Cork,2020-09-14,1697
Cork,2020-09-15,1704
Cork,2020-09-16,1712
Cork,2020-09-17,1726
Cork,2020-09-18,1747
Cork,2020-09-19,1783
Cork,2020-09-20,1807
Cork,2020-09-21,1841
Cork,2020-09-22,1862
Cork,2020-09-23,1896
Cork,2020-09-24,1928
Cork,2020-09-25,1964
Cork,2020-09-26,2018
Cork,2020-09-27,2045
Cork,2020-09-28,2085
Cork,2020-09-29,2145
Cork,2020-09-30,2192
Cork,2020-10-01,2253
Cork,2020-10-02,2299
Cork,2020-10-03,2354
Cork,2020-10-04,2403
Cork,2020-10-05,2444
Cork,2020-10-06,2507
Cork,2020-10-07,2583
Cork,2020-10-08,2690
Cork,2020-10-09,2803
Cork,2020-10-10,2879
Cork,2020-10-11,3026
Cork,2020-10-12,3164
Cork,2020-10-13,3280
Cork,2020-10-14,3453
Cork,2020-10-15,3540
Cork,2020-10-16,3689
Cork,2020-10-17,3845
Cork,2020-10-18,4076
Cork,2020-10-19,4192
Cork,2020-10-20,4329
Cork,2020-10-21,4427
Cork,2020-10-22,4467
Cork,2020-10-23,4615
Cork,2020-10-24,4762
Cork,2020-10-25,4858
Cork,2020-10-26,4983
Cork,2020-10-27,5086
Cork,2020-10-28,5248
Cork,2020-10-29,5351
Cork,2020-10-30,5413
Cork,2020-10-31,5499
Cork,2020-11-01,5572
Cork,2020-11-02,5595
Cork,2020-11-03,5642
Cork,2020-11-04,5692
Cork,2020-11-05,5762
Cork,2020-11-06,5787
Cork,2020-11-07,5822
Cork,2020-11-08,5832
Cork,2020-11-09,5840
Cork,2020-11-10,5864
Cork,2020-11-11,5895
Cork,2020-11-12,5938
Cork,2020-11-13,5965
Cork,2020-11-14,5981
Cork,2020-11-15,6024
Cork,2020-11-16,6060
Cork,2020-11-17,6087
Cork,2020-11-18,6130
Cork,2020-11-19,6158
Cork,2020-11-20,6204
Cork,2020-11-21,6248
Cork,2020-11-22,6274
Donegal,2020-03-21,8
Donegal,2020-03-22,11
Donegal,2020-03-23,11
Donegal,2020-03-24,12
Donegal,2020-03-25,15
Donegal,2020-03-26,15
Donegal,2020-03-27,24
Donegal,2020-03-28,36
Donegal,2020-03-29,46
Donegal,2020-03-30,63
Donegal,2020-03-31,68
Donegal,2020-04-01,77
Donegal,2020-04-02,80
Donegal,2020-04-03,81
Donegal,2020-04-04,103
Donegal,2020-04-05,114
Donegal,2020-04-06,120
Donegal,2020-04-07,125
Donegal,2020-04-08,145
Donegal,2020-04-09,167
